h3_hexagon_id_start,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
871f18840ffffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0714285714285714,1.24,1.4736842105263157,1.35,1.0,1.25,0.0,1.0,0.0
871f18841ffffff,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,1.2222222222222223,1.2592592592592593,1.2307692307692308,1.25,1.0,1.0,1.0
871f18869ffffff,1.6875,1.5517241379310345,1.4166666666666667,1.4166666666666667,1.6451612903225807,1.4285714285714286,1.3157894736842106,2.020408163265306,1.9166666666666667,1.9152542372881356,2.081967213114754,2.3733333333333335,2.036144578313253,2.7790697674418605,2.5,2.8160919540229883,2.864864864864865,3.043010752688172,2.802325581395349,2.5925925925925926,1.986842105263158,1.8428571428571427,1.75,1.5625
871f1886bffffff,1.6333333333333333,1.2647058823529411,1.1818181818181819,1.4,1.1111111111111112,1.0588235294117647,1.25,1.4210526315789473,1.4901960784313726,1.4,1.2682926829268293,1.456140350877193,1.4,1.5,1.4736842105263157,1.5636363636363637,1.7936507936507937,1.8095238095238095,1.8421052631578947,1.8732394366197183,1.75,1.911764705882353,1.7291666666666667,1.38
871f18b01ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
871f18b02ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
871f18b04ffffff,1.6481481481481481,1.372093023255814,1.36,1.4054054054054055,1.435897435897436,1.5,1.75,1.803030303030303,2.1265822784810124,1.858974358974359,1.957142857142857,2.075,1.6901408450704225,1.9848484848484849,2.0405405405405403,1.975,2.090909090909091,2.586206896551724,2.75,2.5161290322580645,2.6129032258064515,1.9529411764705882,1.9870129870129871,1.8307692307692307
871f18b05ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
871f18b06ffffff,1.25,1.2222222222222223,1.0,1.0,1.0,1.1904761904761905,1.0625,1.1333333333333333,1.1785714285714286,1.2142857142857142,1.2333333333333334,1.1153846153846154,1.1818181818181819,1.2432432432432432,1.2903225806451613,1.25,1.3333333333333333,1.2702702702702702,1.2083333333333333,1.0714285714285714,1.0,1.0555555555555556,1.04,1.0
871f18b0bffffff,3.4210526315789473,3.0,1.6666666666666667,2.25,2.0,1.1428571428571428,1.0769230769230769,1.24,1.1363636363636365,1.7241379310344827,2.54320987654321,2.7023809523809526,2.0555555555555554,2.3835616438356166,1.8783783783783783,2.014705882352941,1.706896551724138,2.08,3.1857142857142855,2.915492957746479,3.109090909090909,4.112676056338028,6.0,5.044444444444444
871f18b0dffffff,1.3513513513513513,1.1333333333333333,1.2352941176470589,1.2777777777777777,1.2142857142857142,1.3181818181818181,1.2954545454545454,1.3392857142857142,1.6164383561643836,1.7391304347826086,1.7534246575342465,1.8026315789473684,2.0,2.3552631578947367,2.388235294117647,2.988372093023256,3.022727272727273,2.602272727272727,2.5833333333333335,1.9466666666666668,1.8076923076923077,1.6274509803921569,1.5396825396825398,1.7903225806451613
871f18b20ffffff,1.4166666666666667,1.5172413793103448,1.25,1.32,1.2413793103448276,1.4067796610169492,1.8135593220338984,1.8,2.0303030303030303,1.6571428571428573,1.7534246575342465,1.7625,1.8169014084507042,1.9875,2.2209302325581395,2.2195121951219514,2.465909090909091,2.630434782608696,2.688888888888889,2.2527472527472527,2.2278481012658227,1.9047619047619047,2.1728395061728394,1.6875
871f18b21ffffff,8.49,5.6063829787234045,4.068181818181818,2.870967741935484,3.7938144329896906,4.134020618556701,5.387755102040816,7.46,8.53,7.05,7.18,7.020408163265306,7.303030303030303,7.6,8.32,8.465346534653465,9.72,11.39,13.564356435643564,15.455445544554456,14.425742574257425,13.96,12.603960396039604,10.099009900990099
871f18b22ffffff,2.4942528735632186,2.1492537313432836,1.7659574468085106,1.8644067796610169,2.013333333333333,3.5652173913043477,3.642105263157895,5.216494845360825,5.635416666666667,4.32,4.181818181818182,3.9183673469387754,5.09375,4.888888888888889,5.1020408163265305,5.41,5.595959595959596,5.801980198019802,6.752475247524752,6.1,5.03960396039604,4.87,4.701030927835052,3.0306122448979593
871f18b23ffffff,1.411764705882353,1.2307692307692308,1.2916666666666667,1.2439024390243902,1.3902439024390243,1.5517241379310345,1.5,2.0921052631578947,2.4523809523809526,2.2857142857142856,2.090909090909091,2.037037037037037,2.1923076923076925,2.1,2.175,2.369047619047619,2.404494382022472,2.2531645569620253,2.125,2.013157894736842,1.7721518987341771,1.8823529411764706,1.7313432835820894,1.4313725490196079
